id,language,domain,prompt,model,image_path,status
150,as,Geometry,এখন প্ৰাকৃতিক দৃশ্যৰ ফটো য'ত দিগন্ত ৰেখা অনুভূমিক হোৱাৰ পৰিৱৰ্তে উলম্ব।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Geometry/0150-as.png,ok
151,en,Color,A landscape with bright blue grass and a red sky.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0151-en.png,ok
152,hi,Color,चमकदार नीली घास और लाल आसमान वाला एक परिदृश्य।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0152-hi.png,ok
153,es,Color,Un paisaje con hierba azul brillante y un cielo rojo.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0153-es.png,ok
154,ar,Color,منظر طبيعي بعشب أزرق لامع وسماء حمراء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0154-ar.png,ok
155,as,Color,উজ্জ্বল নীলা ঘাঁহ আৰু ৰঙা আকাশ থকা এক দৃশ্য।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0155-as.png,ok
156,en,Color,A close-up of a blue strawberry.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0156-en.png,ok
157,hi,Color,एक नीले स्ट्रॉबेरी का क्लोज़-अप।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0157-hi.png,ok
158,es,Color,Un primer plano de una fresa azul.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0158-es.png,ok
159,ar,Color,لقطة مقربة لفراولة زرقاء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0159-ar.png,ok
160,as,Color,এটা নীলা ষ্ট্ৰবেৰীৰ ক্ল'জ আপ।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0160-as.png,ok
161,en,Color,A zebra with green and yellow stripes.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0161-en.png,ok
162,hi,Color,हरी और पीली धारियों वाला एक ज़ेबरा।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0162-hi.png,ok
163,es,Color,Una cebra con rayas verdes y amarillas.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0163-es.png,ok
164,ar,Color,حمار وحشي بخطوط خضراء وصفراء.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0164-ar.png,ok
165,as,Color,সেউজীয়া আৰু হালধীয়া পটি থকা এটা জেব্ৰা।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Color/0165-as.png,ok
166,en,Texture,A rock covered in soft fur.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0166-en.png,ok
167,hi,Texture,मुलायम फर से ढकी एक चट्टान।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0167-hi.png,ok
168,es,Texture,Una roca cubierta de pelaje suave.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0168-es.png,ok
169,ar,Texture,صخرة مغطاة بالفراء الناعم.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0169-ar.png,ok
170,as,Texture,কোমল নোমেৰে আবৃত এটা শিল।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0170-as.png,ok
171,en,Texture,A car made entirely of transparent glass.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0171-en.png,ok
172,hi,Texture,पूरी तरह से पारदर्शी कांच से बनी एक कार।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0172-hi.png,ok
173,es,Texture,Un coche hecho enteramente de vidrio transparente.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0173-es.png,ok
174,ar,Texture,سيارة مصنوعة بالكامل من الزجاج الشفاف.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0174-ar.png,ok
175,as,Texture,সম্পূৰ্ণ স্বচ্ছ কাঁচৰ দ্বাৰা নিৰ্মিত এখন গাড়ী।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Texture/0175-as.png,ok
176,en,Action,A person running backwards on a track.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0176-en.png,ok
177,hi,Action,ट्रैक पर पीछे की ओर दौड़ता हुआ एक व्यक्ति।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0177-hi.png,ok
178,es,Action,Una persona corriendo hacia atrás en una pista.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0178-es.png,ok
179,ar,Action,شخص يركض للخلف على مضمار.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0179-ar.png,ok
180,as,Action,ট্ৰেকত পিছফাললৈ দৌৰি থকা এজন ব্যক্তি।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0180-as.png,ok
181,en,Action,Water pouring out of a bottle but freezing in mid-air instantly.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0181-en.png,ok
182,hi,Action,बोतल से पानी गिर रहा है लेकिन हवा में ही तुरंत जम रहा है।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0182-hi.png,ok
183,es,Action,Agua saliendo de una botella pero congelándose en el aire al instante.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0183-es.png,ok
184,ar,Action,ماء ينسكب من زجاجة لكنه يتجمد في الهواء فوراً.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0184-ar.png,ok
185,as,Action,বটলৰ পৰা পানী ওলাইছে কিন্তু লগে লগে বতাহতে গোট মাৰিছে।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0185-as.png,ok
186,en,Action,"A basketball flattened on the ground, not bouncing.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0186-en.png,ok
187,hi,Action,"ज़मीन पर चपटी हुई बास्केटबॉल, उछल नहीं रही है।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0187-hi.png,ok
188,es,Action,"Una pelota de baloncesto aplastada en el suelo, sin rebotar.",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0188-es.png,ok
189,ar,Action,كرة سلة مسطحة على الأرض، لا ترتد.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0189-ar.png,ok
190,as,Action,"মাটিত চেপেটা হৈ থকা এটা বাস্কেটবল, বাউন্স হোৱা নাই।",stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0190-as.png,ok
191,en,Action,A wine glass shattering into pieces.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0191-en.png,ok
192,hi,Action,टुकड़ों में बिखरता हुआ एक वाइन ग्लास।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0192-hi.png,ok
193,es,Action,Una copa de vino haciéndose añicos.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0193-es.png,ok
194,ar,Action,كأس نبيذ يتحطم إلى قطع.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0194-ar.png,ok
195,as,Action,টুকুৰা টুকুৰকৈ ভাঙি যোৱা এটা ৱাইন গ্লাছ।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0195-as.png,ok
196,en,Action,A candle with a black wick and no flame.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0196-en.png,ok
197,hi,Action,काली बाती वाली एक मोमबत्ती और कोई लौ नहीं।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0197-hi.png,ok
198,es,Action,Una vela con una mecha negra y sin llama.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0198-es.png,ok
199,ar,Action,شمعة بفتيل أسود وبدون لهب.,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0199-ar.png,ok
200,as,Action,কলা শলিতা থকা এডাল মমবাতি আৰু কোনো জুই নাই।,stable-diffusion-v1-5,outputs_local/stable-diffusion-v1-5/Action/0200-as.png,ok
